"","x","y","depJan","depFeb","depMar","depApr","depMay","depJun","depJul","depAug","depSep","depOct","depNov","depDec"
"13416",-120,-86.2105263157895,7.22295934649118e-13,7.36761425679473e-13,1.03882228175119e-12,2.54052112294123e-12,3.41714886138909e-12,6.54547846130248e-12,1.17111833231531e-11,5.14953253378646e-11,9.7231266922126e-12,9.01282051157885e-12,1.18509109157475e-12,9.16173065071161e-13
"13417",-117.5,-86.2105263157895,5.48442964855655e-13,7.04562693740397e-13,1.04614900821885e-12,2.56715167998422e-12,3.0777402606771e-12,5.76445057763879e-12,1.1930972109933e-11,4.31691623976036e-11,9.05542082663905e-12,8.92050734580034e-12,1.16173328719846e-12,6.86406074000902e-13
"13418",-115,-86.2105263157895,4.16877707319257e-13,7.11947881363278e-13,9.09977897858678e-13,2.31438837172979e-12,3.24476335235394e-12,6.42445729488663e-12,1.1548373722757e-11,3.26766537412466e-11,8.07276513550766e-12,9.39175800118101e-12,1.09637757494708e-12,6.36724955254389e-13
"13419",-112.5,-86.2105263157895,3.75917020404831e-13,7.21759564270159e-13,7.8555326306351e-13,2.12187435819487e-12,3.02534277079621e-12,4.9463951992573e-12,9.47469851446408e-12,1.16129027170875e-10,7.37688070724044e-12,9.70555003857907e-12,1.62598168266983e-12,7.50635658595887e-13
"13420",-110,-86.2105263157895,3.00055131021714e-13,6.28123518316501e-13,7.66698325539497e-13,2.27150804345909e-12,3.00165013694285e-12,5.54063268806286e-12,8.71562858352943e-12,3.94499923451076e-11,6.59849601106449e-12,1.07498326494033e-11,9.08018520069266e-13,6.55186101867267e-13
"13421",-107.5,-86.2105263157895,2.71317220856907e-13,5.15853193539033e-13,7.90529036351169e-13,2.1463923091883e-12,2.54231469403121e-12,5.55027406176081e-12,7.85164817989064e-12,2.97214409150876e-11,6.32037757092134e-12,9.10099708608032e-12,8.82910597393187e-13,4.04635026618866e-13
"13422",-105,-86.2105263157895,2.26415051410891e-13,5.4229289420668e-13,6.15128418249064e-13,1.95430110273692e-12,2.31219414876179e-12,5.38607740256192e-12,7.14803372894678e-12,3.81307198950341e-11,5.95341246851215e-12,7.72934001043891e-12,1.1458642996322e-12,4.91648881640618e-13
"13423",-102.5,-86.2105263157895,1.83191942803072e-13,4.38887653312868e-13,5.67205100655873e-13,1.86341959204586e-12,2.09323439547901e-12,5.18882346147559e-12,6.74342478829571e-12,3.91310397171267e-11,5.95667657350186e-12,7.82835805609381e-12,8.2432029875718e-13,3.04717479619576e-13
"13424",-100,-86.2105263157895,1.64364056070323e-13,4.27748194645095e-13,6.1862894072227e-13,1.80642868484366e-12,2.06667888026119e-12,5.0743670968625e-12,6.49684621286664e-12,4.23854981874191e-11,5.78221590786133e-12,7.83338028384467e-12,6.85512718939345e-13,3.4190299098067e-13
"13425",-97.5,-86.2105263157895,1.89758549183049e-13,4.09702172262221e-13,5.0585919473119e-13,1.73008399065108e-12,2.24367124267777e-12,4.89829924973202e-12,6.10342750918504e-12,5.40769973966142e-11,5.92506123815219e-12,8.72298925748942e-12,6.50248778581457e-13,3.19964048847352e-13
"13426",-95,-86.2105263157895,1.75040524543893e-13,4.39792943598048e-13,5.01626049639102e-13,1.44458000554302e-12,2.38782873288305e-12,4.89675724742736e-12,5.84637909830814e-12,3.69377990108895e-11,5.89466543966414e-12,1.04678732113059e-11,5.98560112340613e-13,3.53623988059314e-13
"13427",-92.5,-86.2105263157895,1.94733357647241e-13,4.66357964113729e-13,5.49469822897611e-13,1.73273861308359e-12,2.36838232283988e-12,4.96319999411765e-12,6.01863339135184e-12,4.09981100582329e-11,5.86933246298095e-12,1.04568373460911e-11,5.92101584055983e-13,3.69198918873516e-13
"13428",-90,-86.2105263157895,2.03698372228082e-13,4.75411903257397e-13,5.11221111810657e-13,1.70418469832727e-12,2.49573816279462e-12,5.12048880317015e-12,6.71702207252761e-12,4.05386494026759e-11,5.29314103229247e-12,1.05765726529655e-11,5.9066696302973e-13,4.05245795607352e-13
"13429",-87.5,-86.2105263157895,2.22066288306737e-13,4.82257111346871e-13,4.58551041433388e-13,1.45803793500075e-12,2.44675972140533e-12,4.82648951170551e-12,7.1394832489816e-12,3.44208944794188e-11,5.10369830199078e-12,1.01490509416956e-11,6.71138707467293e-13,3.45253429803535e-13
"13430",-85,-86.2105263157895,2.29789592953316e-13,4.8406172430542e-13,4.4271610856207e-13,1.41139536695801e-12,2.46928256040688e-12,5.32860594180501e-12,6.65588342497721e-12,3.65410201486819e-11,4.76984165284695e-12,1.26560413760352e-11,6.23991000738546e-13,3.95050577505443e-13
"13431",-82.5,-86.2105263157895,2.42647956095031e-13,4.89276773812766e-13,4.9470744349777e-13,1.54619421247522e-12,2.39383979748444e-12,4.98192643144961e-12,6.45379821971799e-12,3.52577883575911e-11,4.60736881157485e-12,1.3922555277846e-11,6.06995099363432e-13,4.18273949812066e-13
"13432",-80,-86.2105263157895,2.51951051965368e-13,4.74551959675142e-13,4.62841647123035e-13,1.62819062812924e-12,2.3332839033078e-12,5.2916887943044e-12,6.43692767392511e-12,3.40762269475988e-11,4.94050734618599e-12,1.34722837439206e-11,5.79038731940678e-13,4.09031155408385e-13
"13433",-77.5,-86.2105263157895,2.57981270099284e-13,5.41119668871438e-13,3.89802080784591e-13,1.68566065951805e-12,2.38590180174947e-12,4.98889202806718e-12,6.68052344400625e-12,4.05252110555611e-11,5.25144579311223e-12,1.25133183996536e-11,5.75515518248909e-13,4.21718512524216e-13
"13434",-75,-86.2105263157895,2.72815359428038e-13,5.41891098834194e-13,3.91080150269858e-13,1.67268571354081e-12,2.36372629919585e-12,5.41264249454600e-12,7.37391105207902e-12,4.1128866364894e-11,5.69634061599843e-12,1.27807588883537e-11,6.4669729913554e-13,4.15596278818959e-13
"13435",-72.5,-86.2105263157895,3.08567482592863e-13,5.7075947457219e-13,4.90740268074609e-13,1.59596080743402e-12,2.43339427206357e-12,5.1915243954345e-12,8.16831782114459e-12,4.3371510606593e-11,6.64902588858789e-12,1.36401887557142e-11,7.28272765884556e-13,4.03773224858083e-13
"13436",-70,-86.2105263157895,3.63503744621886e-13,6.57417845747847e-13,4.28098032487201e-13,1.6171749170046e-12,2.46793666740534e-12,5.57758757088126e-12,8.62671045285846e-12,4.14120779294457e-11,7.19927257304703e-12,1.45049084285335e-11,8.7237972792755e-13,3.97680400401453e-13
"13437",-67.5,-86.2105263157895,4.54194649077007e-13,6.70482913383705e-13,4.67220194684942e-13,1.65483633647408e-12,2.46470286501931e-12,5.63781256634311e-12,9.66406291539397e-12,4.54060571490633e-11,8.07686284797242e-12,1.38680677659315e-11,9.93142107249168e-13,5.64787038643655e-13
"13438",-65,-86.2105263157895,5.03481905443981e-13,8.57929602604253e-13,5.61317926534413e-13,1.92829203494314e-12,2.63366303634324e-12,6.05454369196387e-12,1.11389935513931e-11,4.49441036755424e-11,8.93804569236884e-12,1.4228804825662e-11,1.1157536600798e-12,5.51011217720822e-13
"13439",-62.5,-86.2105263157895,5.38183246518302e-13,7.46050460141141e-13,5.31002494267707e-13,1.70619396106332e-12,2.40177007463169e-12,5.94178255791558e-12,1.19462743530482e-11,4.40512174467215e-11,1.03550217411938e-11,1.3789589739852e-11,1.23186844902918e-12,5.80686864826644e-13
"13440",-60,-86.2105263157895,5.76574465604676e-13,7.97079473004532e-13,5.63821357556314e-13,1.548942601455e-12,2.36179893925185e-12,6.47482479619404e-12,1.25760436457933e-11,4.4323277653116e-11,1.18165929311972e-11,1.34857735482869e-11,1.29342061277047e-12,5.64303161808113e-13
"13441",-57.5,-86.2105263157895,5.96761038183446e-13,7.68382978780379e-13,5.44327814100098e-13,1.64604557973155e-12,2.9057226709905e-12,6.51617012606377e-12,1.28615250468854e-11,4.80636755371164e-11,1.20792776263601e-11,1.24161476693291e-11,1.35127671648269e-12,5.59010854955043e-13
"13442",-55,-86.2105263157895,5.3826579252599e-13,7.79557635637577e-13,5.75311404484444e-13,1.64267084165101e-12,2.2809936160343e-12,6.43610207091142e-12,1.30279149284946e-11,4.85236164603545e-11,1.30324728974871e-11,1.15926361070421e-11,1.37110948472288e-12,5.56583787923804e-13
"13443",-52.5,-86.2105263157895,5.29584739785016e-13,7.69281622503901e-13,5.89583680682085e-13,1.42778407276488e-12,2.44277207028416e-12,6.4373919326835e-12,1.30789856789065e-11,4.60846845304038e-11,1.20255150899451e-11,1.09074885201835e-11,1.36526279745281e-12,4.69883464794456e-13
"13444",-50,-86.2105263157895,5.26213110580091e-13,7.29514672356931e-13,5.41613872891492e-13,9.76515197248679e-13,2.51454921871801e-12,6.62860079020768e-12,1.26606313628731e-11,4.75905661314604e-11,1.14176791647978e-11,1.04438632577347e-11,1.44390034101219e-12,5.0756196521272e-13
"13445",-47.5,-86.2105263157895,5.01096325821801e-13,7.06429662882242e-13,4.90166519719875e-13,9.17815409016328e-13,2.2626062248153e-12,6.72222783114232e-12,1.21243999184933e-11,4.75918239753871e-11,1.20274327301861e-11,1.05488772166891e-11,1.43459444000696e-12,3.9193308994843e-13
